word,translation,category
"e, ex (+Abl)","iz, z, s (na vprašanje od kod?)","preposition"
"equus, -i, m","konj","noun (2nd declension -us)"
"et ... et","tako ... kakor tudi; ne samo ... ampak tudi","conjunction"
"evolo 1 evolare","odletim","verb (1st conjugation -are)"
"exemplum, -i, n","primer, zgled","noun (2nd declension -um neuter)"
"facio 3 facere","naredim, storim, delam","verb (3rd conjugation -io variant)"
"factum, -i, n","dejanje, dejstvo","noun (2nd declension -um neuter)"
"filius, -ii, m","sin","noun (2nd declension -us)"
"forma, -ae, f","oblika, lepota, zunanjost","noun (1st declension -a)"
"fugio 3 fugere (+Ak)","bežim, pobegnem (pred kom)","verb (3rd conjugation -io variant)"
"gaudium, -ii, n","veselje, radost","noun (2nd declension -um neuter)"
"gratus 3","hvaležen; prijeten, drag","adjective (1st/2nd declension)"
"hora, -ae, f","ura","noun (1st declension -a)"
"Icarus, -i, m","Ikar (oče Dedal jima je napravil krila, s katerimi sta poletela s Krete; med letom je Ikar padel v morje in se utopil)","noun (2nd declension -us)"
"imperium, -ii, n","ukaz, zapoved; država","noun (2nd declension -um neuter)"
"inopia, -ae, f","pomanjkanje, revščina","noun (1st declension -a)"
"inter (+Ak)","med","preposition"
"ira, -ae, f","jeza","noun (1st declension -a)"
"iratus 3","jezen","adjective (1st/2nd declension)"
"itaque","zatorej, zato","conjunction"
"Iuppiter, Iovis, m","Jupiter (vrhovni rimski bog, v grški mitologiji Zevs)","noun (3rd declension)"
"labyrinthus, -i, m","labirint, blodnjak","noun (2nd declension -us)"
"lego 3 legere","berem, nabiram","verb (3rd conjugation -ere)"
"liber, libri, m","knjiga","noun (2nd declension -er)"
"magister, magistri, m","učitelj","noun (2nd declension -er)"
"meus 3","moj","adjective (possessive, 1st/2nd declension)"
"Minos, Minois, m","Minos (vladar na Kreti; ker Pozejdonu ni hotel žrtvovati belega bika, se je bog razjezil in začaral njegovo ženo Pazifao, da se je zaljubila v bika in rodila Minotavra; Atence je premagal v vojni in od njih vsako leto zahteval sedem mladeničev in sedem mladenk, ki jih je Minotaver požrl)","noun (3rd declension)"
"mora, -ae, f","zamuda, odlašanje","noun (1st declension -a)"
"neglego 3 neglegere","zanemarim, ne oziram se na","verb (3rd conjugation -ere)"
"Neptunus, -i, m","Neptun (bog morja)","noun (2nd declension -us)"
"nimis","preveč","adverb"
"numero 1 numerare","štejem, prištevam","verb (1st conjugation -are)"
"Olympus, -i, m","Olimp (najvišja gora Grčije, v mitologiji bivališče bogov)","noun (2nd declension -us)"
"ovum, -i, n","jajce","noun (2nd declension -um neuter)"
"paro 1 parare","pripravim, pripravljam","verb (1st conjugation -are)"
"per (+Ak)","po, prek, čez","preposition"
"periculum, -i, n","nevarnost","noun (2nd declension -um neuter)"
"philosophus, -i, m","filozof","noun (2nd declension -us)"
"Phoebus, -i, m","Fojb (vzdevek pomeni Svetli oz. Žareči in se nanaša na Apolona kot boga svetlobe in sonca)","noun (2nd declension -us)"
"plenus 3","poln","adjective (1st/2nd declension)"
"postea","potem, pozneje","adverb"
"praebeo 2 praebere","(po)nudim","verb (2nd conjugation -ere)"
"pro (+Abl)","za, v korist","preposition"
"probo 1 probare","poskusim, preizkusim","verb (1st conjugation -are)"
"propter (+Ak)","zaradi","preposition"
"puer, pueri, m","deček","noun (2nd declension -er)"
"quo","kam","adverb (interrogative)"
"quoque","tudi","adverb/particle"
"rego 3 regere","upravljam, vodim, vladam","verb (3rd conjugation -ere)"
"reus, -i, m","obtoženec","noun (2nd declension -us)"
"Romanus, -i, m","Rimljan","adjective/noun (2nd declension -us)"
"sacer, sacra, sacrum","svet, posvečen","adjective (1st/2nd declension)"
"Saturnus, -i, m","Saturn (prvotno italski bog setve in poljedelstva; Rimljani so ga pozneje poistovetili s Kronosom, bogom nekdanje zlate dobe, ki ga je strmoglavil z oblasti najmlajši sin Jupiter oz. Zevs)","noun (2nd declension -us)"
"sedeo 2 sedere","sedim","verb (2nd conjugation -ere)"
"solvo 3 solvere","raztopim, (raz)rešim","verb (3rd conjugation -ere)"
"studium, -ii, n","vnema, prizadevnost; študij","noun (2nd declension -um neuter)"
"superbia, -ae, f","ošabnost","noun (1st declension -a)"
"suus 3","svoj","adjective (possessive, 1st/2nd declension)"
"templum, -i, n","tempelj","noun (2nd declension -um neuter)"
"Theseus, -ei, m","Tezej (junak in kasneje atenski kralj; že kot mladenič je izvršil mnogo slavnih dejanj, še posebej pa se je izkazal v odpravi na Kreto, ko je rešil atenske mladeniče in mladenke, ki so bili kot žrtve namenjeni Minotavru; Tezej je pošast ubil in se ob pomoči Minosove hčere Ariadne rešil iz labirinta)","noun (2nd declension)"
"traho 3 trahere","(po)vlečem","verb (3rd conjugation -ere)"
"tu","ti","pronoun"
"ventus, -i, m","veter","noun (2nd declension -us)"
"verbum, -i, n","beseda","noun (2nd declension -um neuter)"
"vir, viri, m","mož, moški","noun (2nd declension)"
"vivo 3 vivere","živim","verb (3rd conjugation -ere)"
"volo 1 volare","letim","verb (1st conjugation -are)"
"vulnero 1 vulnerare","ranim","verb (1st conjugation -are)"
"aeterna, -ae","večna","adjective (1st/2nd declension)"
"Africa, -ae, f","Afrika (ime, s katerim so Rimljani najprej poimenovali svojo provinco v današnji S Afriki; kasneje se je ime razširilo na celoten kontinent)","noun (1st declension -a)"
"agricola, -ae, m","kmet, poljedelec","noun (1st declension -a, masculine)"
"amo 1 amare","ljubiti","verb (1st conjugation -are)"
"amica, -ae, f","prijateljica","noun (1st declension -a)"
"amicitia, -ae, f","prijateljstvo","noun (1st declension -a)"
"anima -ae, f","dih; življenjska sila; duša","noun (1st declension -a)"
"antiqua, -ae","starodavna, stara","adjective (1st/2nd declension)"
"apud + Ak","pri, ob","preposition"
"ara, -ae, f","oltar","noun (1st declension -a)"
"atque","in","conjunction"
"benevolentia, -ae, f","naklonjenost","noun (1st declension -a)"
"bestia, -ae, f","žival, zver","noun (1st declension -a)"
"cena, -ae, f","večerja","noun (1st declension -a)"
"clara, -ae","slavna; čista, jasna","adjective (1st/2nd declension)"
"colonia, -ae, f","kolonija, naselbina","noun (1st declension -a)"
"curo 1 curare","skrbeti za","verb (1st conjugation -are)"
"dea, -ae, f","boginja","noun (1st declension -a)"
"delecto 1 delectare","razveseljevati","verb (1st conjugation -are)"
"Diana, -ae, f","Diana (hči Jupitra in Latone, Apolonova sestra dvojčica, boginja lova in divjih živali)","noun (1st declension -a)"
"doceo 2 docere","učiti, poučevati","verb (2nd conjugation -ere)"
"dura, -ae","trda","adjective (1st/2nd declension)"
"epistula, -ae, f","pismo","noun (1st declension -a)"
"esse","biti","verb (irregular)"
"et","in","conjunction"
"Europa, -ae, f","Evropa (v grški mitologiji hči finskega kralja Agenorja; Jupiter, v bika spremenjen bog, jo je ugrabil in odpeljal na Kreto, kjer je postala prababica Minosa, za katerega Dedal zgradi labirint; po njej so kasneje poimenovali celino Evropo)","noun (1st declension -a)"
"fabula, -ae, f","zgodba, pripovedka, basen","noun (1st declension -a)"
"fama, -ae, f","glas, sloves","noun (1st declension -a)"
"familia, -ae, f","družina","noun (1st declension -a)"
"femina, -ae, f","ženska","noun (1st declension -a)"
"festino 1 festinare","hiteti","verb (1st conjugation -are)"
"filia, -ae, f","hči","noun (1st declension -a)"
"finitimus 3","soseden","adjective (1st/2nd declension)"
"Gallia, -ae, f","Galija (severno od Italije)","noun (1st declension -a)"
"gloria, -ae, f","slava","noun (1st declension -a)"
"Graecia, -ae, f","Grčija (odgovarjajoče je ime Helada, izvira iz latinščine in je prevzeto iz imena ljudstva Grki, današnja Grčija)","noun (1st declension -a)"
"habeo 2 habere","imeti","verb (2nd conjugation -ere)"
"habito 1 habitare","stanovati","verb (1st conjugation -are)"
"Hispania, -ae, f","Hispanija (današnja Španija)","noun (1st declension -a)"
"historia, -ae, f","zgodovina, zgodba","noun (1st declension -a)"
"hodie","danes","adverb"
"in + Ak/Abl","v, proti; v, na","preposition"
"insula, -ae, f","otok","noun (1st declension -a)"
"Italia, -ae, f","Italija","noun (1st declension -a)"
"iustitia, -ae, f","pravičnost","noun (1st declension -a)"
"iuvo 1 iuvare","pomagati","verb (1st conjugation -are)"
"laboro 1 laborare","delati","verb (1st conjugation -are)"
"lacrima, -ae, f","solza","noun (1st declension -a)"
"laudo 1 laudare","hvaliti","verb (1st conjugation -are)"
"lex legis, f","zakon","noun (3rd declension)"
"libero 1 liberare","osvoboditi","verb (1st conjugation -are)"
"lingua, -ae, f","jezik","noun (1st declension -a)"
"littera, -ae, f","črka; pisma","noun (1st declension -a)"
"locus, -i, m","mesto, kraj; naravno okolje (pluralnost - Loca)","noun (2nd declension -us)"
"longa, -ae","dolga","adjective (1st/2nd declension)"
"Lucretius, -ii, m","Lukrecij (rimski pesnik in filozof, avtor dela O naravi)","noun (2nd declension -us)"
"luna, -ae, f","luna","noun (1st declension -a)"
"malus 3","slab, hudoben","adjective (1st/2nd declension)"
"mandatum, -i, n","navodilo, nalog","noun (2nd declension -um neuter)"
"medicus, -i, m","zdravnik","noun (2nd declension -us)"
"memoria, -ae, f","spomin","noun (1st declension -a)"
"mensa, -ae, f","miza","noun (1st declension -a)"
"meta, -ae, f","cilj, meta","noun (1st declension -a)"
"monstro 1 monstrare","pokazati","verb (1st conjugation -are)"
"mora, -ae, f","zamuda","noun (1st declension -a)"
"multus 3","mnogo, veliko","adjective (1st/2nd declension)"
"nam","kajti, namreč","conjunction"
"narro 1 narrare","pripovedovati","verb (1st conjugation -are)"
"natura, -ae, f","narava","noun (1st declension -a)"
"nauta, -ae, m","mornar","noun (1st declension -a, masculine)"
"nec/neque","in ne, niti","conjunction"
"nego 1 negare","zanikati, odrekati","verb (1st conjugation -are)"
"non","ne","adverb"
"nunc","zdaj","adverb"
"nuntia, -ae, f","sporočilo","noun (1st declension -a)"
"nuntio 1 nuntiare","sporočiti","verb (1st conjugation -are)"
"occupo 1 occupare","zasesti, zavzeti","verb (1st conjugation -are)"
"orno 1 ornare","okrasiti","verb (1st conjugation -are)"
"paro 1 parare","pripraviti","verb (1st conjugation -are)"
"patria, -ae, f","domovina, rojstna dežela","noun (1st declension -a)"
"pecunia, -ae, f","denar","noun (1st declension -a)"
"pendeo 2 pendere","viseti","verb (2nd conjugation -ere)"
"pendo 3 pendere","tehtati, plačati","verb (3rd conjugation -ere)"
"persuadeo 2 persuadere","prepričati","verb (2nd conjugation -ere)"
"perturbo 1 perturbare","zamešati","verb (1st conjugation -are)"
"poeta, -ae, m","pesnik","noun (1st declension -a, masculine)"
"pono 3 ponere","postaviti","verb (3rd conjugation -ere)"
"porto 1 portare","nositi","verb (1st conjugation -are)"
"praemium, -ii, n","plačilo, nagrada","noun (2nd declension -um neuter)"
"propero 1 properare","hiteti","verb (1st conjugation -are)"
"provincia, -ae, f","provinca","noun (1st declension -a)"
"puella, -ae, f","deklica, dekle","noun (1st declension -a)"
"pugno 1 pugnare","boriti se","verb (1st conjugation -are)"
"regina, -ae, f","kraljica","noun (1st declension -a)"
"rogo 1 rogare","vprašati, prositi","verb (1st conjugation -are)"
"Roma, -ae, f","Rim (glavno mesto rimskega imperija)","noun (1st declension -a)"
"rosa, -ae, f","rosa","noun (1st declension -a)"
"rota, -ae, f","kolo","noun (1st declension -a)"
"sagitta, -ae, f","puščica","noun (1st declension -a)"
"saluto 1 salutare","pozdraviti","verb (1st conjugation -are)"
"sed","ampak, toda","conjunction"
"semper","vedno","adverb"
"sententia, -ae, f","mnenje, izrek","noun (1st declension -a)"
"servo 1 servare","ohraniti, varovati","verb (1st conjugation -are)"
"Sicilia, -ae, f","Sicilija (največji italijanski otok)","noun (1st declension -a)"
"silva, -ae, f","gozd","noun (1st declension -a)"
"specto 1 spectare","gledati, motriti","verb (1st conjugation -are)"
"statua, -ae, f","kip","noun (1st declension -a)"
"stella, -ae, f","zvezda","noun (1st declension -a)"
"sto 1 stare","stati, obstati","verb (1st conjugation -are)"
"sum esse","biti","verb (irregular)"
"supero 1 superare","premagati","verb (1st conjugation -are)"
"tabula, -ae, f","tabla, tablica","noun (1st declension -a)"
"taceo 2 tacere","molčati","verb (2nd conjugation -ere)"
"teneo 2 tenere","držati","verb (2nd conjugation -ere)"
"terra, -ae, f","zemlja","noun (1st declension -a)"
"timeo 2 timere","bati se","verb (2nd conjugation -ere)"
"tuba, -ae, f","trobenta","noun (1st declension -a)"
"ubi","kje, ko","adverb (interrogative/relative)"
"unda, -ae, f","val","noun (1st declension -a)"
"valeo 2 valere","biti močan, zdravje","verb (2nd conjugation -ere)"
"via, -ae, f","pot, cesta","noun (1st declension -a)"
"video 2 videre","videti","verb (2nd conjugation -ere)"
"villa, -ae, f","hiša, vila","noun (1st declension -a)"
"vinco 3 vincere","premagati, zmagati","verb (3rd conjugation -ere)"
"vita, -ae, f","življenje","noun (1st declension -a)"
"vito 1 vitare","izogibati se","verb (1st conjugation -are)"
"voco 1 vocare","klicati, poimenovati","verb (1st conjugation -are)"
